scope,key,value
real,cosine_offdiag_mean,0.004252439774799227
real,cosine_offdiag_median,0.004189196991567719
real,cosine_offdiag_max,0.004967997054962002
real,angle_cos_B_offdiag_mean,0.23643426296507097
real,angle_cos_A_offdiag_mean,0.09734080407639638
null_orthogonal,cosine_mean,-3.6595130417649396e-07
null_orthogonal,cosine_sd,4.720515201926978e-06
null_orthogonal,angle_cos_B_mean,0.1325553239052815
null_orthogonal,angle_cos_B_sd,2.7561628302444944e-06
null_orthogonal,angle_cos_A_mean,0.0969306467360856
null_orthogonal,angle_cos_A_sd,4.3796925677871614e-05
null_shuffled,cosine_mean,0.00014435663225706322
null_shuffled,cosine_sd,0.0
null_shuffled,angle_cos_B_mean,0.23643426296507097
null_shuffled,angle_cos_B_sd,0.0
null_shuffled,angle_cos_A_mean,0.09734080407639638
null_shuffled,angle_cos_A_sd,0.0
null_replicated,cosine_mean,1.0
null_replicated,cosine_sd,0.0
null_replicated,angle_cos_B_mean,1.0
null_replicated,angle_cos_B_sd,0.0
null_replicated,angle_cos_A_mean,1.0
null_replicated,angle_cos_A_sd,0.0
z,cosine_offdiag_mean,900.919824252944
z,angle_cos_B_offdiag_mean,37689.695949703586
z,angle_cos_A_offdiag_mean,9.364980166130835
cosine_by_modtype,q_proj,0.002099088014736085
cosine_by_modtype,k_proj,0.0027165140454207277
cosine_by_modtype,v_proj,0.005206590678334743
cosine_by_modtype,o_proj,0.0043027505177353305
cosine_by_modtype,up_proj,0.004500647854423948
cosine_by_modtype,down_proj,0.0053246710122362975
cosine_by_layer,layer0,0.001227226998932043
cosine_by_layer,layer1,0.0023954031114182288
cosine_by_layer,layer2,0.0018224400401774224
cosine_by_layer,layer3,0.0024153074424873096
cosine_by_layer,layer4,0.0036608643629111198
cosine_by_layer,layer5,0.004852381901090124
cosine_by_layer,layer6,0.004401109987730541
cosine_by_layer,layer7,0.005182698341340331
cosine_by_layer,layer8,0.004617859029121365
cosine_by_layer,layer9,0.004279467385904413
cosine_by_layer,layer10,0.003638562000664926
cosine_by_layer,layer11,0.0040666678232804745
cosine_by_layer,layer12,0.0053985051012235925
cosine_by_layer,layer13,0.005947835697850092
cosine_by_layer,layer14,0.006375666239818828
cosine_by_layer,layer15,0.004947683611594137
shared_subspace,mean_energy_retained_r16,0.2987196115967536
shared_subspace,avg_rank_ratio,0.05
