scope,key,value
real,cosine_offdiag_mean,0.006962122959615179
real,cosine_offdiag_median,0.006936442867998051
real,cosine_offdiag_max,0.007911823325914634
real,angle_cos_B_offdiag_mean,0.15580809034423493
real,angle_cos_A_offdiag_mean,0.07108802439261427
null_orthogonal,cosine_mean,5.513741615385738e-07
null_orthogonal,cosine_sd,1.6267140983065005e-06
null_orthogonal,angle_cos_B_mean,0.06988367605489804
null_orthogonal,angle_cos_B_sd,7.127138632089397e-06
null_orthogonal,angle_cos_A_mean,0.06987841587227199
null_orthogonal,angle_cos_A_sd,1.3927652752792957e-05
null_shuffled,cosine_mean,0.00018610733105656058
null_shuffled,cosine_sd,0.0
null_shuffled,angle_cos_B_mean,0.15580809034423493
null_shuffled,angle_cos_B_sd,0.0
null_shuffled,angle_cos_A_mean,0.07108802439261429
null_shuffled,angle_cos_A_sd,0.0
null_replicated,cosine_mean,1.0
null_replicated,cosine_sd,0.0
null_replicated,angle_cos_B_mean,1.0
null_replicated,angle_cos_B_sd,0.0
null_replicated,angle_cos_A_mean,1.0
null_replicated,angle_cos_A_sd,0.0
z,cosine_offdiag_mean,4279.529877254413
z,angle_cos_B_offdiag_mean,12055.948217769861
z,angle_cos_A_offdiag_mean,86.84941689831528
cosine_by_modtype,q_proj,0.002365562780544942
cosine_by_modtype,k_proj,0.002380939650454591
cosine_by_modtype,v_proj,0.013822657066521549
cosine_by_modtype,o_proj,0.00603189919939643
cosine_by_modtype,up_proj,0.008138180074892818
cosine_by_modtype,down_proj,0.007009107882622819
cosine_by_layer,layer0,0.003906004697737643
cosine_by_layer,layer1,0.004694145333579994
cosine_by_layer,layer2,0.002157486022111225
cosine_by_layer,layer3,0.002309202079793846
cosine_by_layer,layer4,0.00306122421589434
cosine_by_layer,layer5,0.0037842422957127097
cosine_by_layer,layer6,0.004771845136962296
cosine_by_layer,layer7,0.005824397881578536
cosine_by_layer,layer8,0.006781907152707556
cosine_by_layer,layer9,0.007929908523332904
cosine_by_layer,layer10,0.006800315002341826
cosine_by_layer,layer11,0.007584426915275581
cosine_by_layer,layer12,0.0065495337987137
cosine_by_layer,layer13,0.007968856703049148
cosine_by_layer,layer14,0.0072552491346645565
cosine_by_layer,layer15,0.00772511148422492
cosine_by_layer,layer16,0.008743388878137973
cosine_by_layer,layer17,0.008136252063829147
cosine_by_layer,layer18,0.007651158128052522
cosine_by_layer,layer19,0.0075930825701056425
cosine_by_layer,layer20,0.007759631274769506
cosine_by_layer,layer21,0.005589028261151404
cosine_by_layer,layer22,0.005124214471137112
cosine_by_layer,layer23,0.004953215635674028
cosine_by_layer,layer24,0.005461688572900175
cosine_by_layer,layer25,0.006448522006691324
cosine_by_layer,layer26,0.0057049065069374166
cosine_by_layer,layer27,0.006341167895978137
cosine_by_layer,layer28,0.007838715062412956
cosine_by_layer,layer29,0.009878876251308774
cosine_by_layer,layer30,0.01525425555785567
cosine_by_layer,layer31,0.013530420879476994
shared_subspace,mean_energy_retained_r16,0.3916362747449732
shared_subspace,avg_rank_ratio,0.05
